Feature ID,Feature Name,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000032366,Tpm1,0.14806718154324822,0.0,0.0,39909,6.981085734322107,1665
ENSMUSG00000026421,Csrp1,0.14744552599541252,0.0,0.0,14961,2.3613138081214036,1354
ENSMUSG00000024661,Fth1,0.14645500737562736,0.0,0.0,38026,7.911091392022892,1663
ENSMUSG00000022836,Mylk,0.1372893391820774,0.0,0.0,21898,3.6053513907787855,1465
ENSMUSG00000049350,Zg16,0.13693178513697526,0.0,0.0,58283,11.853402473439713,1750
ENSMUSG00000061780,Cfd,0.13634572992322866,0.0,0.0,1412,0.3012090177281146,625
ENSMUSG00000043122,A530016L24Rik,0.13621330411463858,0.0,0.0,13,0.002244749952398868,11
ENSMUSG00000032083,Apoa1,0.13400216349397656,0.0,0.0,102815,20.939550429195332,1861
ENSMUSG00000026879,Gsn,0.1336298964843668,0.0,0.0,21783,4.384637077460904,1576
ENSMUSG00000090223,Pcp4,0.13159757465488492,0.0,0.0,3963,0.5904989409531514,930
ENSMUSG00000034892,Rps29,0.12831013833452734,0.0,0.0,18193,3.4985763962917433,1490
ENSMUSG00000038209,Itln1,0.12769080368038666,0.0,0.0,81421,17.023164584813628,1875
ENSMUSG00000060615,Ang4,0.12718339430967185,0.0,0.0,92735,19.147242004868605,1863
ENSMUSG00000026678,Rgs5,0.12664664115129484,0.0,0.0,7206,1.1897256082792746,1187
ENSMUSG00000035686,Thrsp,0.1262395169286058,0.0,0.0,72,0.011183212491729688,62
ENSMUSG00000074439,Defa5,0.12615479874609253,0.0,0.0,2305,0.45124447035694,798
ENSMUSG00000053964,Lgals4,0.1259261925997192,0.0,0.0,62371,13.755002564764109,1812
ENSMUSG00000034127,Tspan8,0.1258997813893464,0.0,0.0,25933,5.37803885074742,1619
ENSMUSG00000027225,Duoxa2,0.1253198916068468,0.0,0.0,31671,6.633653852709681,1671
ENSMUSG00000025467,Prap1,0.12528645444797643,0.0,0.0,20864,4.453979053992056,1563
ENSMUSG00000028464,Tpm2,0.12511232841021527,0.0,0.0,34907,5.78194045349045,1594
ENSMUSG00000079180,Mptx2,0.12241180145248574,0.0,0.0,14784,2.990695567759026,1453
ENSMUSG00000060143,Gm10076,0.12198380598941504,0.0,0.0,7402,1.1867926087642382,1200
ENSMUSG00000062825,Actg1,0.12194679408860583,0.0,0.0,55940,11.07636061162739,1755
ENSMUSG00000063522,Ly6m,0.1218057665895529,0.0,0.0,15548,2.898385734713122,1439
ENSMUSG00000039062,Anpep,0.12120174867391231,0.0,0.0,18808,4.561021303192808,1583
ENSMUSG00000074445,Sprr2a3,0.12102800823090662,0.0,0.0,12976,2.3993099700558185,1365
ENSMUSG00000001025,S100a6,0.12072048298982707,0.0,0.0,48732,9.992431319392793,1728
ENSMUSG00000027559,Car3,0.1206490472207808,0.0,0.0,261,0.06912878836087243,157
ENSMUSG00000090841,Myl6,0.12025971263083197,0.0,0.0,69490,13.178442186275184,1807
ENSMUSG00000031328,Flna,0.11990997568329442,0.0,0.0,28953,5.170756546583923,1604
ENSMUSG00000050335,Lgals3,0.11816536367492053,0.0,0.0,31741,6.483301921466524,1647
ENSMUSG00000057322,Rpl38,0.11797490981363723,0.0,0.0,21424,4.341087566302175,1588
ENSMUSG00000098178,Gm42418,0.1178980241549437,0.0,0.0,29478,7.029408201032077,1686
ENSMUSG00000021390,Ogn,0.11700513899230021,0.0,0.0,1626,0.2372767282792359,673
ENSMUSG00000024029,Tff3,0.11667690130540655,0.0,0.0,44147,9.287375969181108,1725
ENSMUSG00000038690,Atp5j2,0.11616398910907678,0.0,0.0,25118,5.227015034056752,1610
ENSMUSG00000064363,mt-Nd4,0.11577161628340378,0.0,0.0,36612,7.206457083702215,1678
ENSMUSG00000050315,Synpo2,0.11540327845127976,0.0,0.0,3416,0.4636386630910676,930
ENSMUSG00000049775,Tmsb4x,0.11530382038171984,0.0,0.0,45090,8.73666351796382,1705
ENSMUSG00000038274,Fau,0.11494907453927618,0.0,0.0,28819,5.870569662552277,1646
ENSMUSG00000018569,Cldn7,0.11492737394224228,0.0,0.0,32978,6.9486193625233685,1669
ENSMUSG00000064357,mt-Atp6,0.11383011412478723,0.0,0.0,92313,17.52172139525001,1838
ENSMUSG00000030218,Mgp,0.11345416172421255,0.0,0.0,5378,0.8443073610259649,1105
ENSMUSG00000049382,Krt8,0.11287357378575039,0.0,0.0,69278,14.992107992444222,1828
ENSMUSG00000056973,Ces1d,0.11255286955277978,0.0,0.0,668,0.10509586498960463,411
ENSMUSG00000035775,Krt20,0.11244680893145652,0.0,0.0,25003,5.147429128798193,1600
ENSMUSG00000001270,Ckb,0.11239726846528521,0.0,0.0,23239,4.346968886900847,1542
ENSMUSG00000031636,Pdlim3,0.11162218909519529,0.0,0.0,5939,0.979810379863913,1136
ENSMUSG00000030587,2200002D01Rik,0.1111604235933596,0.0,0.0,36706,8.331424867580695,1705
ENSMUSG00000047675,Rps8,0.11112582458530462,0.0,0.0,23531,4.7939358681263675,1593
ENSMUSG00000025515,Muc2,0.11106379850293745,0.0,0.0,96881,21.057556875251716,1870
